Year,Date,DayOfMonth,Month,ReferenceName
2000,Apr 14,14,4,TOKIYOSHI-KYOKI
2000,Apr 15,15,4,TOKIYOSHI-KYOKI
2000,Apr 19,19,4,SHUNKYUKI(DAIGO)
2000,Apr 17,17,4,TOKIYOSHI-KYOKI
2000,Apr 19,19,4,KEICHO-NIKKENROKU
2000,Mar 27,27,3,GIENJUNKO-NIKKI(DAIGO)
2000,Apr 15,15,4,TOKIYOSHI-KYOKI
2000,Apr 12,12,4,TOKIYOSHI-KYOKI
2000,Apr 19,19,4,YASUSHIGE-KYOKI
2000,May 01,1,5,YASUSHIGE-KYOKI
2000,Apr 16,16,4,YASUSHIGE-KYOKI
2000,Apr 11,11,4,TOKIYOSHI-KYOKI
2000,Apr 02,2,4,(DAINIHON-SHIRYO)
2000,Apr 18,18,4,(DAINIHON-SHIRYO)
2000,Apr 15,15,4,RYOGEN-IN-KI
2000,Apr 22,22,4,YASUSHIGE-KYOKI
2000,Apr 21,21,4,YASUSHIGE-KYOKI
2000,Apr 04,4,4,OYUDONONO-UENO-NIKKI
2000,Apr 09,9,4,(SHIRYO-SORAN)
2000,Apr 13,13,4,ROKUON-NICHIROKU
2000,Apr 21,21,4,YASUSHIGE-KYOKI
2000,Apr 13,13,4,TOKIYOSHI-KYOKI
2000,Apr 07,7,4,OUCHI-NIKKI
2000,Apr 05,5,4,MICHIFUSA-KOKI
2000,Apr 06,6,4,(SHIRYO-SORAN)
2000,Apr 14,14,4,TOKIYOSHI-KYOKI
2000,Apr 14,14,4,KAKUMEIKI
2000,Apr 17,17,4,KAKUMEIKI
2000,Apr 12,12,4,KYOHAKUSHU
2000,Apr 26,26,4,HIRAMATSUKE-HINAMI-SHIKI
2000,Apr 23,23,4,HIRAMATSUKE-HINAMI-SHIKI
2000,Apr 23,23,4,KAKUMEIKI
2000,Apr 14,14,4,HIRAMATSU-TOKIMORIKI
2000,Apr 08,8,4,HIRAMATSU-TOKIMORIKI
2000,Mar 27,27,3,SHOHO-2-NEN-IKO-NIKKI
2000,Apr 21,21,4,KAKUMEIKI
2000,Apr 13,13,4,KAKUMEIKI
2000,Apr 11,11,4,KAKUMEIKI
2000,Apr 16,16,4,ZOKU-SHIGUSHO
2000,Apr 16,16,4,KAKUMEIKI
2000,Apr 21,21,4,KAKUMEIKI
2000,Apr 13,13,4,KAKUMEIKI
2000,Apr 13,13,4,ISHIKAWA-NIKKI
2000,Apr 12,12,4,ISHIKAWA-NIKKI
2000,Apr 17,17,4,KAKUMEIKI
2000,Apr 20,20,4,KAKUMEIKI
2000,Apr 02,2,4,BURUI-GENYO-WAKASHU
2000,Apr 19,19,4,KAKUMEIKI
2000,Apr 14,14,4,KAKUMEIKI
2000,Apr 14,14,4,KAKUMEIKI
2000,Apr 21,21,4,KAKUMEIKI
2000,Apr 17,17,4,KIMITOSHI-KYOKI
2000,Apr 21,21,4,HAMURO-YORINARI-KI
2000,Apr 19,19,4,GYOJO-HOSSINNO-NIKKI [TOYOKUNI]
2000,Apr 13,13,4,HAMURO-YORINARI-KI
2000,Apr 11,11,4,GYOJO-HOSSINNO-NIKKI
2000,Apr 25,25,4,GYOJO-HOSSINNO-NIKKI [KINDAI]
2000,Apr 21,21,4,GYOJO-HOSSINNO-NIKKI [SEIRYODEN]
2000,Apr 14,14,4,MUJOHOINDONO-GONIKKI
2000,Apr 24,24,4,GYOJO-HOSSINNO-NIKKI
2000,Apr 20,20,4,GYOJO-HOSSINNO-NIKKI [TOJI]
2000,Apr 12,12,4,GYOJO-HOSSINNO-NIKKI
2000,Apr 05,5,4,MUJOHOINDONO-GONIKKI
2000,Apr 18,18,4,GYOJO-HOSSINNO-NIKKI [HIGASHI-IWAKURA]
